January 2021 Contiguous U.S. County Average Temperature
Units: Degrees Fahrenheit
Missing: -99, Rank out of 127 Years
"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
AL-001,"Autauga County",48.1,87,1.8,46.3
AL-003,"Baldwin County",51.8,76,0.8,51
AL-005,"Barbour County",48.4,76,0.6,47.8
AL-007,"Bibb County",45.5,76,1.2,44.3
AL-009,"Blount County",43.6,87,2.0,41.6
AL-011,"Bullock County",47.8,77,1.0,46.8
AL-013,"Butler County",49.2,85,1.7,47.5
AL-015,"Calhoun County",44.6,86,2.3,42.3
AL-017,"Chambers County",44.7,76,1.0,43.7
AL-019,"Cherokee County",43.7,90,2.3,41.4
AL-021,"Chilton County",46.5,89,1.8,44.7
AL-023,"Choctaw County",48.8,83,1.7,47.1
AL-025,"Clarke County",50.7,93,2.8,47.9
AL-027,"Clay County",44.2,83,1.4,42.8
AL-029,"Cleburne County",44.2,93,2.7,41.5
AL-031,"Coffee County",49.5,77,0.8,48.7
AL-033,"Colbert County",42.6,91,2.7,39.9
AL-035,"Conecuh County",50.4,84,1.7,48.7
AL-037,"Coosa County",45.8,83,1.3,44.5
AL-039,"Covington County",49.8,76,0.9,48.9
AL-041,"Crenshaw County",48.6,82,1.2,47.4
AL-043,"Cullman County",42.8,84,1.7,41.1
AL-045,"Dale County",49.8,73,0.7,49.1
AL-047,"Dallas County",48.5,84,1.7,46.8
AL-049,"DeKalb County",42.4,90,2.4,40
AL-051,"Elmore County",47.4,82,1.3,46.1
AL-053,"Escambia County",51.2,84,1.5,49.7
AL-055,"Etowah County",44.1,88,2.2,41.9
AL-057,"Fayette County",44.8,88,2.0,42.8
AL-059,"Franklin County",42.4,91,2.2,40.2
AL-061,"Geneva County",50.0,72,0.3,49.7
AL-063,"Greene County",46.4,78,1.2,45.2
AL-065,"Hale County",46.0,72,0.7,45.3
AL-067,"Henry County",49.8,76,0.7,49.1
AL-069,"Houston County",50.6,73,0.4,50.2
AL-071,"Jackson County",42.1,91,2.2,39.9
AL-073,"Jefferson County",44.3,82,1.2,43.1
AL-075,"Lamar County",44.5,84,1.7,42.8
AL-077,"Lauderdale County",42.1,92,2.7,39.4
AL-079,"Lawrence County",42.2,85,1.8,40.4
AL-081,"Lee County",45.7,67,0.1,45.6
AL-083,"Limestone County",42.2,89,2.3,39.9
AL-085,"Lowndes County",48.9,87,1.7,47.2
AL-087,"Macon County",46.9,67,0.4,46.5
AL-089,"Madison County",42.2,88,2.0,40.2
AL-091,"Marengo County",47.8,80,1.2,46.6
AL-093,"Marion County",43.5,89,2.2,41.3
AL-095,"Marshall County",43.6,91,2.6,41
AL-097,"Mobile County",51.2,74,0.7,50.5
AL-099,"Monroe County",50.8,90,2.4,48.4
AL-101,"Montgomery County",48.5,84,1.4,47.1
AL-103,"Morgan County",42.8,90,2.2,40.6
AL-105,"Perry County",46.6,77,1.0,45.6
AL-107,"Pickens County",45.9,84,1.8,44.1
AL-109,"Pike County",48.8,80,1.1,47.7
AL-111,"Randolph County",44.4,85,2.1,42.3
AL-113,"Russell County",46.8,65,-0.2,47
AL-115,"St. Clair County",44.2,82,1.7,42.5
AL-117,"Shelby County",45.0,81,1.3,43.7
AL-119,"Sumter County",46.9,77,1.1,45.8
AL-121,"Talladega County",44.8,82,1.2,43.6
AL-123,"Tallapoosa County",45.1,74,0.7,44.4
AL-125,"Tuscaloosa County",45.5,78,1.3,44.2
AL-127,"Walker County",44.1,85,1.5,42.6
AL-129,"Washington County",51.0,88,2.4,48.6
AL-131,"Wilcox County",49.5,85,2.0,47.5
AL-133,"Winston County",42.5,83,1.6,40.9
AZ-001,"Apache County",30.3,61,0.6,29.7
AZ-003,"Cochise County",44.8,83,1.3,43.5
AZ-005,"Coconino County",34.2,89,2.3,31.9
AZ-007,"Gila County",43.7,99,2.8,40.9
AZ-009,"Graham County",44.2,84,1.6,42.6
AZ-011,"Greenlee County",41.0,97,2.6,38.4
AZ-012,"La Paz County",52.9,85,1.7,51.2
AZ-013,"Maricopa County",53.7,101,2.9,50.8
AZ-015,"Mohave County",44.6,93,2.3,42.3
AZ-017,"Navajo County",31.8,74,1.4,30.4
AZ-019,"Pima County",51.8,95,2.2,49.6
AZ-021,"Pinal County",51.6,95,2.1,49.5
AZ-023,"Santa Cruz County",45.7,82,1.4,44.3
AZ-025,"Yavapai County",43.5,95,2.6,40.9
AZ-027,"Yuma County",55.1,93,2.3,52.8
AR-001,"Arkansas County",43.6,89,2.4,41.2
AR-003,"Ashley County",45.3,83,1.7,43.6
AR-005,"Baxter County",37.8,95,2.9,34.9
AR-007,"Benton County",38.1,90,3.1,35
AR-009,"Boone County",37.6,95,2.9,34.7
AR-011,"Bradley County",45.3,90,2.5,42.8
AR-013,"Calhoun County",44.8,90,2.0,42.8
AR-015,"Carroll County",37.6,89,2.7,34.9
AR-017,"Chicot County",44.8,77,1.0,43.8
AR-019,"Clark County",42.8,76,1.2,41.6
AR-021,"Clay County",38.5,87,2.6,35.9
AR-023,"Cleburne County",39.6,84,2.1,37.5
AR-025,"Cleveland County",43.6,81,1.6,42
AR-027,"Columbia County",44.6,73,0.8,43.8
AR-029,"Conway County",40.8,89,2.2,38.6
AR-031,"Craighead County",39.6,89,2.6,37
AR-033,"Crawford County",40.5,96,3.0,37.5
AR-035,"Crittenden County",42.1,93,2.7,39.4
AR-037,"Cross County",41.0,86,2.2,38.8
AR-039,"Dallas County",43.1,74,1.1,42
AR-041,"Desha County",44.1,83,1.8,42.3
AR-043,"Drew County",44.6,84,1.9,42.7
AR-045,"Faulkner County",40.6,76,1.4,39.2
AR-047,"Franklin County",40.1,95,2.6,37.5
AR-049,"Fulton County",37.7,100,3.5,34.2
AR-051,"Garland County",41.8,83,1.7,40.1
AR-053,"Grant County",42.6,70,1.0,41.6
AR-055,"Greene County",39.1,89,2.8,36.3
AR-057,"Hempstead County",43.6,79,1.3,42.3
AR-059,"Hot Spring County",42.6,79,1.4,41.2
AR-061,"Howard County",42.5,81,1.5,41
AR-063,"Independence County",39.0,85,2.2,36.8
AR-065,"Izard County",38.3,92,2.9,35.4
AR-067,"Jackson County",39.5,83,2.1,37.4
AR-069,"Jefferson County",42.8,75,1.3,41.5
AR-071,"Johnson County",39.4,93,2.5,36.9
AR-073,"Lafayette County",45.3,84,1.6,43.7
AR-075,"Lawrence County",38.7,88,2.5,36.2
AR-077,"Lee County",43.2,95,3.0,40.2
AR-079,"Lincoln County",43.7,81,1.7,42
AR-081,"Little River County",44.7,92,2.2,42.5
AR-083,"Logan County",40.6,87,2.1,38.5
AR-085,"Lonoke County",41.9,76,1.4,40.5
AR-087,"Madison County",37.8,89,2.8,35
AR-089,"Marion County",37.8,97,3.0,34.8
AR-091,"Miller County",45.9,87,2.1,43.8
AR-093,"Mississippi County",40.2,86,2.3,37.9
AR-095,"Monroe County",43.3,94,2.9,40.4
AR-097,"Montgomery County",41.5,88,1.9,39.6
AR-099,"Nevada County",43.4,71,0.9,42.5
AR-101,"Newton County",37.2,90,2.4,34.8
AR-103,"Ouachita County",44.1,72,1.0,43.1
AR-105,"Perry County",41.5,88,2.0,39.5
AR-107,"Phillips County",43.8,95,3.0,40.8
AR-109,"Pike County",41.9,76,1.1,40.8
AR-111,"Poinsett County",40.2,90,2.4,37.8
AR-113,"Polk County",41.0,92,2.1,38.9
AR-115,"Pope County",39.9,92,2.5,37.4
AR-117,"Prairie County",42.2,86,1.9,40.3
AR-119,"Pulaski County",41.8,74,1.4,40.4
AR-121,"Randolph County",38.5,94,3.1,35.4
AR-123,"St. Francis County",42.3,93,2.7,39.6
AR-125,"Saline County",41.8,76,1.3,40.5
AR-127,"Scott County",41.0,92,2.3,38.7
AR-129,"Searcy County",37.7,90,2.4,35.3
AR-131,"Sebastian County",41.4,95,2.7,38.7
AR-133,"Sevier County",43.5,94,2.2,41.3
AR-135,"Sharp County",37.8,89,2.7,35.1
AR-137,"Stone County",38.7,91,2.7,36
AR-139,"Union County",45.5,85,1.8,43.7
AR-141,"Van Buren County",38.8,86,2.0,36.8
AR-143,"Washington County",38.6,94,3.0,35.6
AR-145,"White County",40.7,83,1.9,38.8
AR-147,"Woodruff County",41.0,86,2.0,39
AR-149,"Yell County",41.2,87,2.0,39.2
CA-001,"Alameda County",50.2,117,3.8,46.4
CA-003,"Alpine County",33.0,106,3.6,29.4
CA-005,"Amador County",45.3,96,2.2,43.1
CA-007,"Butte County",47.1,114,3.9,43.2
CA-009,"Calaveras County",46.1,109,2.8,43.3
CA-011,"Colusa County",48.6,117,4.2,44.4
CA-013,"Contra Costa County",50.3,119,4.4,45.9
CA-015,"Del Norte County",42.3,105,3.0,39.3
CA-017,"El Dorado County",42.3,100,2.7,39.6
CA-019,"Fresno County",42.6,110,3.4,39.2
CA-021,"Glenn County",47.4,116,4.0,43.4
CA-023,"Humboldt County",44.3,99,2.5,41.8
CA-025,"Imperial County",57.2,102,3.0,54.2
CA-027,"Inyo County",43.8,95,2.6,41.2
CA-029,"Kern County",47.7,111,3.4,44.3
CA-031,"Kings County",49.1,110,3.8,45.3
CA-033,"Lake County",45.8,108,2.9,42.9
CA-035,"Lassen County",33.1,101,4.0,29.1
CA-037,"Los Angeles County",51.4,108,3.6,47.8
CA-039,"Madera County",43.4,114,3.6,39.8
CA-041,"Marin County",51.6,122,4.5,47.1
CA-043,"Mariposa County",42.6,106,2.8,39.8
CA-045,"Mendocino County",46.4,101,2.5,43.9
CA-047,"Merced County",49.1,113,3.8,45.3
CA-049,"Modoc County",32.6,96,3.9,28.7
CA-051,"Mono County",30.8,102,3.6,27.2
CA-053,"Monterey County",50.2,108,3.3,46.9
CA-055,"Napa County",49.1,119,4.0,45.1
CA-057,"Nevada County",39.6,92,2.0,37.6
CA-059,"Orange County",57.7,114,3.7,54
CA-061,"Placer County",41.1,98,2.4,38.7
CA-063,"Plumas County",35.0,102,3.6,31.4
CA-065,"Riverside County",53.4,104,3.0,50.4
CA-067,"Sacramento County",49.3,111,3.5,45.8
CA-069,"San Benito County",48.4,113,3.5,44.9
CA-071,"San Bernardino County",49.3,102,2.7,46.6
CA-073,"San Diego County",52.7,105,3.2,49.5
CA-075,"San Francisco County",51.9,117,3.7,48.2
CA-077,"San Joaquin County",50.7,121,5.2,45.5
CA-079,"San Luis Obispo County",50.2,111,3.3,46.9
CA-081,"San Mateo County",51.4,114,3.4,48
CA-083,"Santa Barbara County",51.2,109,3.2,48
CA-085,"Santa Clara County",49.0,114,3.3,45.7
CA-087,"Santa Cruz County",51.1,115,3.5,47.6
CA-089,"Shasta County",41.0,93,2.2,38.8
CA-091,"Sierra County",34.8,98,3.1,31.7
CA-093,"Siskiyou County",35.5,93,2.6,32.9
CA-095,"Solano County",50.2,120,4.4,45.8
CA-097,"Sonoma County",50.2,120,3.8,46.4
CA-099,"Stanislaus County",49.1,115,4.0,45.1
CA-101,"Sutter County",49.2,110,3.6,45.6
CA-103,"Tehama County",45.3,103,2.9,42.4
CA-105,"Trinity County",39.6,97,2.3,37.3
CA-107,"Tulare County",41.2,107,3.1,38.1
CA-109,"Tuolumne County",38.9,109,3.2,35.7
CA-111,"Ventura County",49.4,108,3.4,46
CA-113,"Yolo County",49.2,113,3.6,45.6
CA-115,"Yuba County",47.3,103,2.8,44.5
CO-001,"Adams County",31.2,104,4.6,26.6
CO-003,"Alamosa County",21.3,88,2.9,18.4
CO-005,"Arapahoe County",31.7,103,4.6,27.1
CO-007,"Archuleta County",24.6,90,2.8,21.8
CO-009,"Baca County",34.6,95,3.3,31.3
CO-011,"Bent County",32.7,89,3.3,29.4
CO-013,"Boulder County",28.6,95,3.2,25.4
CO-014,"Broomfield County",32.7,87,3.1,29.6
CO-015,"Chaffee County",20.1,79,1.1,19
CO-017,"Cheyenne County",31.8,102,4.3,27.5
CO-019,"Clear Creek County",21.9,95,2.6,19.3
CO-021,"Conejos County",21.2,92,2.7,18.5
CO-023,"Costilla County",23.8,94,2.9,20.9
CO-025,"Crowley County",31.2,87,3.0,28.2
CO-027,"Custer County",23.3,63,0.5,22.8
CO-029,"Delta County",27.0,98,4.1,22.9
CO-031,"Denver County",33.2,99,3.9,29.3
CO-033,"Dolores County",26.2,99,3.1,23.1
CO-035,"Douglas County",30.8,87,2.7,28.1
CO-037,"Eagle County",21.4,98,2.7,18.7
CO-039,"Elbert County",30.3,100,4.0,26.3
CO-041,"El Paso County",30.0,80,2.1,27.9
CO-043,"Fremont County",26.0,53,-0.4,26.4
CO-045,"Garfield County",24.9,93,3.2,21.7
CO-047,"Gilpin County",24.7,96,3.2,21.5
CO-049,"Grand County",19.2,101,2.8,16.4
CO-051,"Gunnison County",18.8,91,2.3,16.5
CO-053,"Hinsdale County",20.0,104,3.1,16.9
CO-055,"Huerfano County",29.1,76,1.2,27.9
CO-057,"Jackson County",18.4,87,2.2,16.2
CO-059,"Jefferson County",30.1,84,2.1,28
CO-061,"Kiowa County",31.7,92,3.6,28.1
CO-063,"Kit Carson County",32.0,104,4.7,27.3
CO-065,"Lake County",17.7,94,2.0,15.7
CO-067,"La Plata County",26.2,91,2.6,23.6
CO-069,"Larimer County",25.9,91,3.4,22.5
CO-071,"Las Animas County",32.5,75,1.6,30.9
CO-073,"Lincoln County",31.0,103,4.0,27
CO-075,"Logan County",30.8,103,4.9,25.9
CO-077,"Mesa County",27.6,97,4.4,23.2
CO-079,"Mineral County",19.8,97,3.2,16.6
CO-081,"Moffat County",22.7,92,2.9,19.8
CO-083,"Montezuma County",29.2,95,2.9,26.3
CO-085,"Montrose County",27.8,97,3.9,23.9
CO-087,"Morgan County",29.7,106,5.4,24.3
CO-089,"Otero County",32.9,82,2.6,30.3
CO-091,"Ouray County",23.0,87,2.2,20.8
CO-093,"Park County",20.2,66,0.7,19.5
CO-095,"Phillips County",29.9,93,4.5,25.4
CO-097,"Pitkin County",20.3,89,2.1,18.2
CO-099,"Prowers County",32.4,85,2.9,29.5
CO-101,"Pueblo County",32.4,74,1.5,30.9
CO-103,"Rio Blanco County",23.1,84,2.1,21
CO-105,"Rio Grande County",19.6,88,2.6,17
CO-107,"Routt County",20.8,100,2.8,18
CO-109,"Saguache County",19.1,82,1.5,17.6
CO-111,"San Juan County",21.0,102,2.9,18.1
CO-113,"San Miguel County",26.8,101,3.2,23.6
CO-115,"Sedgwick County",30.0,96,4.6,25.4
CO-117,"Summit County",19.1,102,3.0,16.1
CO-119,"Teller County",22.3,65,0.3,22
CO-121,"Washington County",30.8,103,5.0,25.8
CO-123,"Weld County",29.8,99,4.4,25.4
CO-125,"Yuma County",31.0,95,4.5,26.5
CT-001,"Fairfield County",30.4,100,3.6,26.8
CT-003,"Hartford County",28.8,102,3.8,25
CT-005,"Litchfield County",26.0,98,3.3,22.7
CT-007,"Middlesex County",30.1,100,3.3,26.8
CT-009,"New Haven County",29.5,95,2.9,26.6
CT-011,"New London County",31.1,105,4.1,27
CT-013,"Tolland County",28.8,104,4.3,24.5
CT-015,"Windham County",29.6,106,4.6,25
DE-001,"Kent County",36.6,100,3.7,32.9
DE-003,"New Castle County",35.3,100,3.9,31.4
DE-005,"Sussex County",37.7,97,3.2,34.5
FL-001,"Alachua County",56.6,87,1.4,55.2
FL-003,"Baker County",54.0,81,1.0,53
