Resort Name,User Rating,Beginner,Intermediate,Advanced,Expert,Open Acreage
"49 Degrees North Washington, USALast Updated: 04/04Compare",3.162 Reviews,30%,40%,25%,5%,N/A
"Afton Alps Minnesota, USALast Updated: 03/23Compare",3.150 Reviews,30%,49%,21%,0%,N/A
"Alpental Washington, USALast Updated: 05/03Compare",3.150 Reviews,14%,45%,41%,,N/A
"Alpine Valley Ohio, USALast Updated: 03/25Compare",3.122 Reviews,33%,50%,17%,0%,N/A
"Alpine Valley Resort Wisconsin, USALast Updated: 03/27Compare",3.074 Reviews,33%,38%,29%,0%,N/A
,,,,,,
"Alpine Valley Ski Area Michigan, USALast Updated: 03/15Compare",3.126 Reviews,34%,36%,30%,0%,N/A
"Alta Ski Area Utah, USALast Updated: 04/27Compare",3.8134 Reviews,15%,30%,55%,0%,N/A
"Alyeska Resort Alaska, USALast Updated: 04/05Compare",3.044 Reviews,11%,52%,37%,,N/A
"Andes Tower Hills Ski Area Minnesota, USALast Updated: 03/21Compare",2.614 Reviews,25%,6%,31%,38%,33ac
"Angel Fire Resort New Mexico, USALast Updated: 04/04Compare",3.3117 Reviews,22%,56%,22%,0%,N/A
,,,,,,
"Anthony Lakes Mountain Resort Oregon, USALast Updated: 04/04Compare",3.118 Reviews,20%,38%,42%,,N/A
"Appalachian Ski Mountain North Carolina, USALast Updated: 03/29Compare",3.244 Reviews,33%,33%,33%,0%,N/A
"Apple Mountain Michigan, USALast Updated: 12/18Compare",2.74 Reviews,40%,40%,20%,0%,N/A
"Arapahoe Basin Ski Area Colorado, USALast Updated: 05/10Compare",3.4141 Reviews,4%,24%,39%,33%,1096ac
"Arizona Snowbowl Arizona, USALast Updated: 05/04Compare",3.1133 Reviews,22%,44%,22%,13%,0ac
,,,,,,
"Aspen Snowmass Colorado, USALast Updated: 04/27Compare",4.358 Reviews,6%,43%,17%,34%,N/A
"Attitash New Hampshire, USALast Updated: 04/04Compare",3.254 Reviews,26%,46%,28%,0%,N/A
"Bear Creek Mountain Resort Pennsylvania, USALast Updated: 03/29Compare",3.165 Reviews,30%,40%,30%,0%,N/A
"Bear Mountain California, USALast Updated: 04/12Compare",3.248 Reviews,20%,33%,33%,13%,N/A
"Bear Valley California, USALast Updated: 04/21Compare",3.455 Reviews,11%,41%,45%,4%,N/A
,,,,,,
"Beaver Creek Colorado, USALast Updated: 04/14Compare",3.9102 Reviews,38%,30%,24%,8%,0ac
"Beaver Mountain Utah, USALast Updated: 04/30Compare",3.220 Reviews,35%,40%,25%,0%,N/A
"Beech Mountain Resort North Carolina, USALast Updated: 03/21Compare",3.290 Reviews,30%,40%,30%,0%,75ac
"Belleayre New York, USALast Updated: 04/07Compare",3.287 Reviews,22%,58%,10%,10%,N/A
"Berkshire East Massachusetts, USALast Updated: 04/02Compare",3.230 Reviews,29%,37%,24%,11%,N/A
,,,,,,
"Big Boulder Pennsylvania, USALast Updated: 03/27Compare",3.138 Reviews,38%,25%,38%,0%,N/A
"Big Powderhorn Mountain Michigan, USALast Updated: 03/21Compare",3.254 Reviews,27%,40%,31%,2%,N/A
"Big Sky Montana, USALast Updated: 04/19Compare",3.9138 Reviews,15%,25%,42%,18%,0ac
"Big Snow Resort - Blackjack Michigan, USALast Updated: 04/15Compare",3.220 Reviews,16%,32%,44%,8%,N/A
"Big Snow Resort - Indianhead Mountain Michigan, USALast Updated: 03/22Compare",3.3109 Reviews,20%,27%,40%,13%,N/A
,,,,,,
"Big Squaw Mountain Ski Resort Maine, USALast Updated: 03/21Compare",3.17 Reviews,33%,34%,33%,0%,N/A
"Bittersweet Ski Area Michigan, USALast Updated: 03/15Compare",3.244 Reviews,39%,39%,22%,0%,N/A
"Black Mountain New Hampshire, USALast Updated: 03/22Compare",3.115 Reviews,29%,35%,23%,13%,N/A
"Blacktail Mountain Ski Area Montana, USALast Updated: 04/17Compare",3.219 Reviews,15%,65%,20%,0%,N/A
"Blue Hills Ski Area Massachusetts, USALast Updated: 03/27Compare",3.112 Reviews,50%,19%,31%,0%,N/A
,,,,,,
"Blue Knob Pennsylvania, USALast Updated: 03/27Compare",3.246 Reviews,15%,41%,26%,18%,N/A
"Blue Mountain Resort Pennsylvania, USALast Updated: 04/04Compare",3.5189 Reviews,40%,15%,35%,10%,N/A
"Bluewood Washington, USALast Updated: 04/05Compare",3.126 Reviews,17%,45%,38%,0%,N/A
"Bogus Basin Idaho, USALast Updated: 04/21Compare",3.364 Reviews,10%,50%,28%,12%,0ac
"Bolton Valley Vermont, USALast Updated: 04/05Compare",3.145 Reviews,34%,38%,23%,6%,N/A
,,,,,,
"Boreal Mountain Resort California, USALast Updated: 04/21Compare",3.144 Reviews,26%,29%,44%,0%,N/A
"Boston Mills Ohio, USALast Updated: 03/16Compare",3.142 Reviews,20%,40%,40%,0%,N/A
"Bousquet Ski Area Massachusetts, USALast Updated: 03/22Compare",3.110 Reviews,9%,26%,22%,43%,N/A
"Boyne Highlands Michigan, USALast Updated: 04/04Compare",3.442 Reviews,36%,31%,31%,2%,N/A
"Boyne Mountain Resort Michigan, USALast Updated: 04/06Compare",3.345 Reviews,49%,28%,20%,3%,118ac
,,,,,,
"Bradford Ski Area Massachusetts, USALast Updated: 03/20Compare",3.19 Reviews,10%,80%,10%,0%,15ac
"Brandywine Ohio, USALast Updated: 03/15Compare",3.035 Reviews,27%,27%,46%,0%,N/A
"Brantling Ski Slopes New York, USALast Updated: 03/25Compare",2.716 Reviews,30%,40%,30%,0%,N/A
"Breckenridge Colorado, USALast Updated: 05/10Compare",3.9194 Reviews,13%,23%,36%,28%,861ac
"Bretton Woods New Hampshire, USALast Updated: 04/14Compare",3.584 Reviews,23%,28%,34%,15%,0ac
,,,,,,
"Brian Head Resort Utah, USALast Updated: 04/19Compare",3.470 Reviews,30%,35%,32%,3%,N/A
"Bridger Bowl Montana, USALast Updated: 04/04Compare",3.343 Reviews,12%,28%,18%,42%,2000ac
"Brighton Resort Utah, USALast Updated: 04/19Compare",3.568 Reviews,21%,39%,25%,15%,N/A
"Bristol Mountain New York, USALast Updated: 04/04Compare",3.261 Reviews,35%,45%,20%,0%,N/A
"Bromley Mountain Vermont, USALast Updated: 04/02Compare",3.231 Reviews,30%,36%,32%,2%,158ac
"Bruce Mound Wisconsin, USALast Updated: 03/25Compare",3.38 Reviews,17%,17%,50%,16%,N/A
"Brundage Mountain Resort Idaho, USALast Updated: 04/13Compare",3.228 Reviews,21%,33%,21%,25%,1920ac
"Bryce Resort Virginia, USALast Updated: 03/21Compare",3.025 Reviews,38%,50%,13%,0%,N/A
"Buck Hill Minnesota, USALast Updated: 03/23Compare",2.932 Reviews,34%,34%,16%,16%,N/A
"Buena Vista Ski Area Minnesota, USALast Updated: 04/05Compare",3.06 Reviews,20%,55%,25%,0%,N/A
"Buffalo Ski Club Ski Area New York, USALast Updated: 04/30Compare",3.13 Reviews,20%,46%,34%,,N/A
"Burke Mountain Vermont, USALast Updated: 04/04Compare",3.227 Reviews,9%,47%,30%,13%,N/A
"Caberfae Peaks Michigan, USALast Updated: 03/22Compare",3.151 Reviews,35%,32%,32%,0%,N/A
"Camden Snow Bowl Maine, USALast Updated: 03/29Compare",3.16 Reviews,20%,70%,10%,0%,N/A
"Camelback Mountain Resort Pennsylvania, USALast Updated: 04/03Compare",3.1170 Reviews,39%,26%,26%,9%,N/A
"Campgaw Mountain New Jersey, USALast Updated: 04/05Compare",3.026 Reviews,33%,33%,25%,8%,N/A
"Canaan Valley Resort West Virginia, USALast Updated: 04/04Compare",3.334 Reviews,19%,36%,43%,2%,N/A
"Cannon Mountain New Hampshire, USALast Updated: 04/12Compare",3.263 Reviews,14%,53%,33%,0%,0ac
"Cannonsburg Michigan, USALast Updated: 03/22Compare",3.162 Reviews,35%,50%,15%,0%,N/A
"Cascade Mountain Wisconsin, USALast Updated: 03/21Compare",3.262 Reviews,38%,40%,0%,21%,175ac
"Cataloochee Ski Area North Carolina, USALast Updated: 03/29Compare",3.176 Reviews,44%,39%,0%,17%,N/A
"Catamount New York, USALast Updated: 03/29Compare",3.256 Reviews,40%,35%,15%,10%,120ac
"Chestnut Mountain Resort Illinois, USALast Updated: 03/08Compare",3.236 Reviews,26%,58%,16%,0%,N/A
"Christie Mountain Wisconsin, USALast Updated: 03/21Compare",3.315 Reviews,37%,23%,30%,10%,30ac
"Christmas Mountain Wisconsin, USALast Updated: 04/05Compare",3.121 Reviews,40%,40%,20%,0%,N/A
"Coffee Mill Ski & Snowboard Resort Minnesota, USALast Updated: 03/25Compare",2.77 Reviews,35%,29%,7%,29%,N/A
"Cooper Colorado, USALast Updated: 04/18Compare",3.141 Reviews,17%,27%,31%,25%,400ac
"Cooper Spur Oregon, USALast Updated: 04/05Compare",3.012 Reviews,40%,60%,0%,0%,N/A
"Copper Mountain Colorado, USALast Updated: 04/27Compare",3.9146 Reviews,25%,24%,34%,17%,N/A
"Cranmore Mountain Resort New Hampshire, USALast Updated: 03/28Compare",3.126 Reviews,28%,44%,28%,0%,150ac
"Crested Butte Mountain Resort Colorado, USALast Updated: 04/19Compare",3.983 Reviews,14%,25%,25%,36%,0ac
"Crotched Mountain New Hampshire, USALast Updated: 03/28Compare",3.242 Reviews,26%,35%,39%,0%,N/A
"Crystal Mountain Washington, USALast Updated: 05/10Compare",3.2108 Reviews,8%,31%,32%,29%,0ac
"Crystal Mountain Michigan, USALast Updated: 04/05Compare",3.441 Reviews,28%,47%,26%,0%,N/A
"Dartmouth Skiway New Hampshire, USALast Updated: 03/28Compare",3.15 Reviews,21%,50%,25%,4%,N/A
